,championId,WR,count
0,1,0.4606741573033708,89.0
1,2,0.2,15.0
2,3,0.5,44.0
3,4,0.384297520661157,242.0
4,5,0.3404255319148936,47.0
5,6,0.5172413793103449,29.0
6,7,0.5157894736842106,95.0
7,8,0.46688741721854304,302.0
8,9,0.11764705882352941,17.0
9,10,0.32432432432432434,74.0
10,11,0.2925170068027211,147.0
11,12,0.3333333333333333,3.0
12,13,0.39779005524861877,181.0
13,14,0.5,56.0
14,15,0.5053597295992275,10355.0
15,16,0.20689655172413793,29.0
16,17,0.28859060402684567,298.0
17,18,0.4903138609400811,19977.0
18,19,0.5,50.0
19,20,0.16666666666666666,144.0
20,21,0.5204746250256832,194680.0
21,22,0.5091447483016897,45928.0
22,23,0.4314214463840399,401.0
23,24,0.53,100.0
24,25,0.41732283464566927,127.0
25,26,0.5,58.0
26,27,0.5141509433962265,212.0
27,29,0.5061160945955964,13489.0
28,30,0.5457317073170732,656.0
29,31,0.509090909090909,110.0
30,32,0.391304347826087,23.0
31,33,0.23333333333333334,30.0
32,34,0.5153203342618384,359.0
33,35,0.23809523809523808,21.0
34,36,0.3125,16.0
35,37,0.5526315789473685,76.0
36,38,0.3023255813953488,86.0
37,39,0.41769743101807805,1051.0
38,40,0.125,8.0
39,41,0.37254901960784315,51.0
40,42,0.47216035634743875,449.0
41,43,0.47191011235955055,89.0
42,44,0.5,10.0
43,45,0.5263157894736842,950.0
44,48,0.31343283582089554,67.0
45,50,0.5551172474249397,4563.0
46,51,0.5052704576976421,43260.0
47,53,0.0,3.0
48,54,0.3956043956043956,91.0
49,55,0.43795620437956206,274.0
50,56,0.32432432432432434,37.0
51,57,0.5637583892617449,149.0
52,58,0.48,75.0
53,59,0.3333333333333333,54.0
54,60,0.14285714285714285,7.0
55,61,0.45038167938931295,131.0
56,62,0.5194805194805194,154.0
57,63,0.4525993883792049,327.0
58,64,0.4864864864864865,74.0
59,67,0.5187181924948269,89405.0
60,68,0.46875,128.0
61,69,0.5172741679873217,3155.0
62,72,0.5,2.0
63,74,0.5028248587570622,1770.0
64,75,0.3235294117647059,34.0
65,76,0.26666666666666666,45.0
66,77,0.0,2.0
67,78,0.34375,32.0
68,79,0.45161290322580644,31.0
69,80,0.43162393162393164,234.0
70,81,0.4833913463248558,196795.0
71,82,0.453125,64.0
72,83,0.4,10.0
73,84,0.3879310344827586,116.0
74,85,0.44,150.0
75,86,0.3614457831325301,166.0
76,89,0.5,10.0
77,90,0.45121951219512196,164.0
78,91,0.3920704845814978,227.0
79,92,0.38461538461538464,65.0
80,96,0.5043144774688398,6258.0
81,98,0.5,42.0
82,99,0.422680412371134,291.0
83,101,0.5052968930828808,11233.0
84,102,0.5,4.0
85,103,0.43103448275862066,58.0
86,104,0.43414120126448896,949.0
87,105,0.5306122448979592,98.0
88,106,0.23076923076923078,39.0
89,107,0.5615763546798029,406.0
90,110,0.4735432016075017,10451.0
91,111,0.35714285714285715,14.0
92,112,0.5313028764805414,591.0
93,113,0.4166666666666667,12.0
94,114,0.453125,128.0
95,115,0.5289862895390263,27789.0
96,117,0.3902439024390244,41.0
97,119,0.5020950784702118,26252.0
98,120,0.23529411764705882,17.0
99,121,0.3333333333333333,6.0
100,122,0.3674698795180723,166.0
101,126,0.3741721854304636,302.0
102,127,0.4370860927152318,151.0
103,131,0.48148148148148145,27.0
104,133,0.41015625,256.0
105,134,0.48569482288828336,1468.0
106,136,0.46153846153846156,13.0
107,141,0.32,25.0
108,142,0.4166666666666667,72.0
109,143,0.5,86.0
110,145,0.48436841963781685,111601.0
111,147,0.5383211678832117,548.0
112,150,0.24324324324324326,37.0
113,154,0.38636363636363635,44.0
114,157,0.499658547689506,8786.0
115,161,0.5013698630136987,365.0
116,163,0.546572934973638,569.0
117,164,0.5555555555555556,54.0
118,166,0.47181372549019607,2448.0
119,201,0.0,1.0
120,202,0.4992115386546941,99561.0
121,203,0.5225837785332685,2059.0
122,222,0.5041490527634257,38322.0
123,223,0.5367647058823529,136.0
124,234,0.325,40.0
125,235,0.4978969505783386,1902.0
126,236,0.49668208663627583,178124.0
127,238,0.5337690631808278,459.0
128,240,0.4444444444444444,54.0
129,245,0.40425531914893614,47.0
130,246,0.423728813559322,118.0
131,254,0.5,6.0
132,266,0.4424778761061947,113.0
133,267,0.35714285714285715,28.0
134,268,0.3829787234042553,188.0
135,350,0.1388888888888889,36.0
136,360,0.4899201898429542,89337.0
137,412,0.21052631578947367,19.0
138,420,0.4117647058823529,17.0
139,421,0.5,8.0
140,427,0.0,10.0
141,429,0.4729131449730339,12423.0
142,432,0.3333333333333333,12.0
143,497,0.0,4.0
144,498,0.49330304691783505,12767.0
145,516,0.4782608695652174,23.0
146,517,0.5042918454935622,466.0
147,518,0.49635036496350365,274.0
148,523,0.46993181599923173,52065.0
149,526,0.0,3.0
150,555,0.5405405405405406,111.0
151,711,0.49935316946959896,773.0
152,777,0.43729096989966554,1196.0
153,875,0.541015625,512.0
154,876,0.4659090909090909,88.0
155,887,0.5,38.0
